Frame, Keypoints, Bounding Boxes, Confidence Scores, Classes
84, N/A, [851.0, 208.0, 1099.0, 434.0], 0.6183339953422546, 0.0
84, N/A, [1119.0, 11.0, 1280.0, 711.0], 0.5201583504676819, 0.0
85, N/A, [415.0, 6.0, 1040.0, 715.0], 0.9343892931938171, 0.0
85, N/A, [842.0, 208.0, 1084.0, 434.0], 0.7625384330749512, 0.0
85, N/A, [1117.0, 9.0, 1280.0, 711.0], 0.5162324905395508, 0.0
86, N/A, [415.0, 6.0, 1042.0, 713.0], 0.9346031546592712, 0.0
86, N/A, [1025.0, 224.0, 1158.0, 431.0], 0.6756550669670105, 0.0
86, N/A, [858.0, 206.0, 1016.0, 428.0], 0.6168398261070251, 0.0
86, N/A, [1119.0, 9.0, 1280.0, 713.0], 0.5484650731086731, 0.0
87, N/A, [414.0, 6.0, 1039.0, 715.0], 0.9349488615989685, 0.0
87, N/A, [846.0, 206.0, 1057.0, 425.0], 0.7146999835968018, 0.0
87, N/A, [1020.0, 224.0, 1158.0, 429.0], 0.6441652178764343, 0.0
87, N/A, [1117.0, 5.0, 1280.0, 712.0], 0.5308781862258911, 0.0
88, N/A, [414.0, 6.0, 1038.0, 715.0], 0.9347667694091797, 0.0
88, N/A, [853.0, 206.0, 1034.0, 426.0], 0.6817119121551514, 0.0
88, N/A, [1034.0, 225.0, 1157.0, 428.0], 0.5645371675491333, 0.0
88, N/A, [1117.0, 8.0, 1280.0, 712.0], 0.5088962316513062, 0.0
89, N/A, [414.0, 6.0, 1042.0, 713.0], 0.9351194500923157, 0.0
89, N/A, [845.0, 205.0, 1057.0, 428.0], 0.6944330930709839, 0.0
89, N/A, [1018.0, 226.0, 1155.0, 427.0], 0.6401277780532837, 0.0
90, N/A, [413.0, 6.0, 1043.0, 712.0], 0.9335711002349854, 0.0
90, N/A, [840.0, 208.0, 1071.0, 428.0], 0.7440415024757385, 0.0
90, N/A, [1028.0, 226.0, 1157.0, 430.0], 0.5752132534980774, 0.0
91, N/A, [412.0, 7.0, 1043.0, 712.0], 0.9320957064628601, 0.0
91, N/A, [857.0, 208.0, 1075.0, 428.0], 0.7165020704269409, 0.0
91, N/A, [1005.0, 228.0, 1158.0, 428.0], 0.532502293586731, 0.0
92, N/A, [412.0, 6.0, 1042.0, 713.0], 0.9316674470901489, 0.0
92, N/A, [844.0, 208.0, 1077.0, 431.0], 0.7664753198623657, 0.0
92, N/A, [1022.0, 228.0, 1155.0, 428.0], 0.5679617524147034, 0.0
93, N/A, [412.0, 6.0, 1039.0, 715.0], 0.9323878884315491, 0.0
93, N/A, [838.0, 209.0, 1082.0, 432.0], 0.7365427613258362, 0.0
93, N/A, [1029.0, 227.0, 1156.0, 431.0], 0.610478401184082, 0.0
94, N/A, [411.0, 6.0, 1042.0, 712.0], 0.9316658973693848, 0.0
