Frame, Keypoints, Bounding Boxes, Confidence Scores, Classes
0, [[[709.6782836914062, 128.88262939453125], [754.0595703125, 90.65399169921875], [659.9464721679688, 94.8695068359375], [813.4784545898438, 137.56317138671875], [600.2918090820312, 149.66458129882812], [943.9601440429688, 411.87664794921875], [487.17047119140625, 414.8376159667969], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]]], [368.0, 6.0, 1083.0, 711.0], 0.9041202664375305, 0.0
2, [[[952.2771606445312, 280.5423583984375], [0.0, 0.0], [938.1353759765625, 270.810302734375], [0.0, 0.0], [898.8104858398438, 280.243896484375], [957.3901977539062, 336.6445007324219], [871.7134399414062, 346.75927734375], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]]], [855.0, 205.0, 1007.0, 417.0], 0.6124066710472107, 0.0
2, [[[1078.1993408203125, 277.93658447265625], [1092.2587890625, 265.4381408691406], [1068.404052734375, 265.38885498046875], [1122.200439453125, 271.02947998046875], [1058.8277587890625, 270.70831298828125], [1154.8331298828125, 333.21173095703125], [1041.152099609375, 323.33184814453125], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]]], [981.0, 210.0, 1171.0, 360.0], 0.47864532470703125, 0.0
2, [[[1078.1063232421875, 277.97705078125], [1091.4658203125, 266.08404541015625], [1069.0167236328125, 266.22723388671875], [1118.553955078125, 269.4433898925781], [0.0, 0.0], [1149.1031494140625, 328.648193359375], [1047.051025390625, 325.4634094238281], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]]], [1038.0, 211.0, 1171.0, 353.0], 0.3374052941799164, 0.0
3, [[[707.4891967773438, 127.38552856445312], [754.6790771484375, 87.4185791015625], [658.751708984375, 89.31121826171875], [815.3689575195312, 132.0146484375], [597.9345703125, 138.1220703125], [946.287353515625, 406.5450439453125], [483.73431396484375, 406.1150207519531], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]]], [369.0, 10.0, 1079.0, 711.0], 0.9122843742370605, 0.0
3, [[[0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [1234.8294677734375, 300.83343505859375], [0.0, 0.0], [1232.6920166015625, 659.9775390625], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]]], [1167.0, 6.0, 1280.0, 710.0], 0.7491382956504822, 0.0
3, [[[952.0557250976562, 282.92315673828125], [950.6620483398438, 270.4609375], [937.2698974609375, 271.98046875], [0.0, 0.0], [897.0413818359375, 280.9001159667969], [959.9255981445312, 347.46990966796875], [865.2269897460938, 355.7521057128906], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]]], [858.0, 206.0, 1007.0, 422.0], 0.5934141278266907, 0.0
3, [[[1078.9100341796875, 278.40826416015625], [1093.222900390625, 267.08935546875], [1069.3626708984375, 265.9732360839844], [1120.697265625, 273.90692138671875], [0.0, 0.0], [1152.8057861328125, 333.599609375], [1035.603271484375, 323.1138000488281], [1161.1099853515625, 385.12890625], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]]], [978.0, 212.0, 1171.0, 362.0], 0.43933233618736267, 0.0
3, [[[1076.932861328125, 278.2326354980469], [1092.9207763671875, 267.15008544921875], [1068.492431640625, 265.0516357421875], [1123.216796875, 277.150146484375], [1057.4150390625, 271.5048522949219], [1151.496826171875, 338.8193664550781], [1028.908935546875, 326.0794677734375], [1160.1273193359375, 400.8634948730469], [985.1370239257812, 374.8349304199219], [1105.754150390625, 343.32208251953125], [1046.45556640625, 333.5845947265625], [0.0, 0.0], [1040.85107421875, 461.77398681640625], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]]], [977.0, 211.0, 1172.0, 427.0], 0.3088560402393341, 0.0
3, [[[1077.6502685546875, 278.40509033203125], [1091.383056640625, 267.2185363769531], [1068.7652587890625, 266.6960754394531], [1118.1641845703125, 272.3486633300781], [0.0, 0.0], [1145.706787109375, 330.36883544921875], [1044.490234375, 325.4434814453125], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]]], [1026.0, 213.0, 1169.0, 354.0], 0.27732646465301514, 0.0
4, [[[707.1290283203125, 128.30987548828125], [753.5279541015625, 90.26922607421875], [658.2708740234375, 93.27288818359375], [813.4205322265625, 138.22015380859375], [597.9851684570312, 146.57989501953125], [942.5709228515625, 408.3755798339844], [484.88922119140625, 409.3557434082031], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]]], [371.0, 7.0, 1078.0, 711.0], 0.9134194850921631, 0.0
